Scientific name,#occurrences
Calomys sp.,186
Akodon mollis,185
Peradectes pusillus,185
Aethomys chrysophilus,184
Mammut americanum,184
Meriones hurrianae,183
Alphadon jasoni,182
Apodemus pallipes,182
Brachyerix macrotis,182
Nyctiellus lepidus,182
Oligoryzomys chacoensis,182
Sorex nanus,182
Rhinolophus arcuatus,181
Elephantulus intufi,180
Molossus bondae,180
Onychomys sp.,180
Reithrodontomys sumichrasti,180
Sylvilagus bachmani,179
Tamias umbrinus,179
Crypholestes vaughni,178
Dipodomys californicus,178
Dobsonia moluccensis,178
Hypsugo hesperus,178
Ptenochirus minor,177
Shoshonius sp,177
Lonchophylla robusta,176
Mops condylurus,176
Peromyscus melanurus,176
Ammospermophilus harrisii,175
Ototylomys phyllotis,175
Phyllotis magister,175
Calomys sorellus,174
Geomyoid sp,174
Plagiodontia aedium,174
Carollia sp.,173
Carpolestes nigridens,173
Platyrrhinus dorsalis,173
Apodemus peninsulae,172
Tamias sibiricus,172
Felis silvestris,171
Myotis sp,171
Oreamnos americanus,171
Capra hircus,170
Jaculus jaculus,170
Thylamys venustus,170
Camelops minidokae,169
Hyracotherium angustidens,169
Sorex unguiculatus,169
Calomys boliviae,168
Lasiurus ega,167
Leptonycteris yerbabuenae,167
Stockoceros conklingi,167
Camelops hesternus,166
Crocuta crocuta,166
Platyrrhinus vittatus,166
Scotophilus nigrita,166
Microsyops alfi,165
Microtus canicaudus,165
Pan troglodytes,165
Uroderma magnirostrum,165
Clethrionomys rutilus,164
Epomophorus wahlbergi,164
Cricetulus longicaudatus,163
Microtus quasiater,163
Eligmodontia moreni,162
Merycoidodon culbertsoni,162
Phodopus roborovskii,162
Microtus agrestis,161
Teleoceras major,161
Eschrichtius robustus,160
Heptodon sp,160
Lissodelphis borealis,160
Oryzomys alfaroi,160
Ectypodus powelli,159
Miniopterus australis,158
Necromys lenguarum,158
Ovibos moschatus,156
Talpa europaea,156
Arvicola riparia,155
Geomys arenarius,155
Geomys attwateri,155
Leptomeryx speciosus,155
Peromyscus simulus,155
Plecotus rafinesquii,155
Rattus fuscipes,155
Didelphis albiventris,154
Epomophorus labiatus,154
Geringia copiosus,154
Meniscotherium tapiacetum,154
Sespedectes singularis,154
Stenella coeruleoalba,154
Ctenomys haigi,153
Haplomylus speirianus,153
Lonchorhina aurita,153
Sciuravus powayensis,153
Equus simplicidens,152
Pliohippus interpolatus,152
Sturnira bidens,152
Sorex preblei,151
Sylvilagus palustris,151
Arborimus albipes,150
Brontotheriid sp,150
Merycodus furcatus,150
Microtus kikuchii,150
Miospermophilus wyomingensis,150
Soriculus fumidus,150
Oreolagus wallacei,149
Spermophilus tereticaudus,149
Mustela putorius,148
Saguinus geoffroyi,147
Ptilodus sp,146
Tamias sp.,146
Artibeus anderseni,145
Desmostylus hesperus,145
Dipodomys microps,145
Marmota sp,145
Pediomys cooki,145
Rhinolophus simulator,145
Akodon aerosus,144
Ametrida centurio,144
Borophagus cyonoides,144
Felis atrox,144
Monophyllus plethodon,144
Pteronotus quadridens,144
Thomomys townsendii,144
Paramys sp,143
Protungulatum donnae,143
Trachops cirrhosus,143
Akodon fumeus,142
Crocidura pullata,142
Hyopsodus uintensis,142
Metachirus nudicaudatus,142
Oryzomys perenensis,142
Centetodon sp,141
Molossus coibensis,141
Omomys carteri,141
Aepyceros melampus,140
Cloeotis percivali,140
Micoureus demerarae,140
Monodelphis domestica,140
Shoshonius cooperi,140
Spermophilus undulatus,140
Akodon puer,139
Cavia porcellus,139
Coryphodon sp,139
Myotis levis,139
Spermophilus saturatus,139
Cimolomys gracilis,138
Globicephala macrorhynchus,138
Glossotherium harlani,138
Hylaeamys yunganus,138
Pediomys hatcheri,138
Scenopagus edenensis,138
Sciuravus eucristadens,138
Sorex sonomae,138
Cynomys mexicanus,137
Lasiurus blossevillii,137
Mesomys hispidus,137
Platygonus compressus,137
Tylonycteris pachypus,137
Carollia sowelli,136
Dipodomys elephantinus,136
Lemmus lemmus,136
Nectomys squamipes,136
Choloepus hoffmanni,135
Hyopsodus loomisi,134
Ochotona hyperborea,134
Chiroderma villosum,133
Ectocion sp,133
Kogia breviceps,133
Myotis fortidens,133
Spermophilus franklinii,133
Sylvilagus sp.,133
Eumops glaucinus,132
Mastomys coucha,132
Molossus rufus,132
Myotis leibii,132
Pediomys florencae,132
Tamandua tetradactyla,132
Absarokius sp,131
Callosciurus notatus,131
Copemys russelli,131
Peromyscus ochraventer,131
Triaenops persicus,131
Chinchilla lanigera,130
Phyllostomus elongatus,130
Protungulatum sp,130
Sorex obscurus,130
Vulpes macrotis,130
Idionycteris phyllotis,129
Macaca mulatta,129
Microtus terraenovae,129
Microtus/pedomys sp,129
Orthaspidotherium edwardsi,129
Peromyscus yucatanicus,129
Phyllops falcatus,129
Sigmodon alleni,129
Melonycteris melanops,128
Oryzomys capito,128
Oxymycterus rufus,128
Platyrrhinus brachycephalus,128
Abrothrix andinus,127
Arapahovius gazini,127
Hipposideros ruber,127
Liomys salvini,127
Nannodectes gazini,127
Peridiomys sp,127
Dipodomys phillipsii,126
Entoptychus wheelerensis,126
Eumys brachyodus,126
Hyperacrius wynnei,126
Akodon varius,125
Corynorhinus mexicanus,125
Promerycochoerus superbus,125
Bison priscus,124
Crocidura grayi,124
Diacodexis secans-secans,124
Geomys personatus,124
Leptonycteris curasoae,124
Macropus rufus,124
Physeter catodon,124
Rousettus angolensis,124
Taphozous theobaldi,124
Microryzomys minutus,123
Nannodectes intermedius,123
Nasua nasua,123
Panthera tigris,123
Cryptotis nigrescens,122
Cylindrodon sp,122
Hemiauchenia macrocephala,122
Neotoma sp.,122
Nyctitherium serotinum,122
Pipistrellus tenuis,122
Rattus everetti,122
Ctenomys sociabilis,121
Paramys adamus,121
Rattus tunneyi,121
Sciurus variegatoides,121
Corynorhinus rafinesquii,120
Eumys elegans,120
Pleuraspidotherium aumoneri,120
Calomys lepidus,118
Cynopterus sphinx,118
Hydrochoerus hydrochaeris,118
Molossops temminckii,118
Sturnira tildae,118
Homogalax sp,117
Petromyscus collinus,117
Pteronotus gymnonotus,117
Raphicerus campestris,117
Sciurus aureogaster,117
Scotophilus kuhli,117
Alphadon halleyi,116
Dipodomys compactus,116
Microtus cumberlandensis,116
Purgatorius janisae,116
Tamias speciosus,116
Cylindrodon fontis,115
Dicrostonyx hudsonius,115
Rattus tiomanicus,115
Eonycteris spelaea,114
Geomys knoxjonesi,114
Myodes sp.,114
Platyrrhinus infuscus,114
Thryptacodon sp,114
Calomyscus bailwardi,113
Catopsalis joyneri,113
Oryzomys yunganus,113
Tatera brantsii,113
Megalagus brachyodon,112
Mustela nigripes,112
Plesiadapis fodinatus,112
Reithrodon auritus,112
Ruscinomys sp,112
Saccopteryx leptura,112
Viverravus sp,112
Eptesicus gobiensis,111
Ictidomys parvidens,111
Marmota broweri,111
Pediomys krejcii,111
Sciurus deppei,111
Solenodon paradoxus,111
Sorex arcticus,111
Sorex isodon,111
Spermophilus mohavensis,111
Lambdotherium popoagicum,110
Lepus washingtoni,110
Lestoros inca,110
Papio hamadryas,110
Rattus baluensis,110
Crocidura beatus,109
Pseudocylindrodon tobeyi,109
Tamias palmeri,109
Connochaetes taurinus,108
Liodontia alexandrae,108
Peratherium fugax,108
Plaisiodon centralis,108
Saccostomus campestris,108
Alphadon marshi,107
Didymictis sp,107
Myodes centralis,107
Oryx gazella,107
Peropteryx macrotis,107
Sespedectes stocki,107
Elephantulus rufescens,106
Geomys tuza,106
Myotis muricola,106
Sciurus granatensis,106
Artibeus aequatorialis,105
Ellobius tancrei,105
Esthonyx sp,105
