Scientific Name,#Occurrences
dipodomys heermanni,229
lepus townsendii,229
oecomys bicolor,229
myotis keenii,228
eptesicus furinalis,227
oryzomys texensis,227
panthera pardus,227
proechimys semispinosus,227
tamias quadrimaculatus,227
cimexomys minor,226
sorex ugyunak,226
menoceras arikarense,225
scotophilus kuhlii,225
akodon torques,222
glossophaga longirostris,222
neotoma macrotis,222
phyllotis andium,222
spermophilus beldingi,222
otospermophilus variegatus,221
haplomylus sp,220
mammuthus primigenius,220
philander opossum,220
sylvilagus transitionalis,220
brachylagus idahoensis,219
peromyscus melanophrys,219
felis catus,218
akodon albiventer,217
artibeus inopinatus,217
artibeus schwartzi,217
dipodomys ingens,217
microtus chrotorrhinus,217
molossus sinaloae,217
rhinolophus megaphyllus,217
tylomys nudicaudus,217
artibeus fimbriatus,216
mormoops megalophylla,216
spermophilus sp,216
niviventer coxingi,215
scenopagus priscus,215
martes caurina,214
peromyscus [unknown],214
chaetodipus californicus,213
leopardus pardalis,213
proechimys quadruplicatus,213
diacodexis sp,212
mesohippus sp,210
niviventer culturatus,210
phyllonycteris poeyi,210
akodon dolores,209
neotamias senex,209
panthera leo,209
aztlanolagus agilis,207
homo sapiens,206
plesiadapis churchilli,206
cardioderma cor,205
sciurus griseus,205
micronycteris megalotis,204
sorex bairdi,204
brachyphylla nana,203
proechimys sp.,203
spermophilus townsendii,203
sturnira oporaphilum,202
gerbillus nanus,201
plagioctenodon sp,201
tamias senex,201
micaelamys namaquensis,200
ticholeptus zygomaticus,200
rhinophylla pumilio,199
pauromys sp,198
heteromys gaumeri,197
neotoma pygmaea,197
tamias canipes,196
hyopsodus miticulus,195
merychippus californicus,195
mesodma hensleighi,195
phyllotis osilae,195
spilogale putorius,195
thylamys pallidior,195
neotoma phenax,194
ctenomys sp.,193
microtus operarius,193
lambdotherium sp,192
oryzomys chapmani,192
dipus sagitta,191
proechimys kulinae,191
apheliscus nitidus,190
mustela nivalis,190
oryzomys megacephalus,190
protemnodon otibandus,190
phocoenoides dalli,189
hylaeamys megacephalus,188
kolopsis torus,188
paradjidaumo sp,187
calomys sp.,186
akodon mollis,185
peradectes pusillus,185
aethomys chrysophilus,184
mammut americanum,184
meriones hurrianae,183
alphadon jasoni,182
apodemus pallipes,182
brachyerix macrotis,182
nyctiellus lepidus,182
oligoryzomys chacoensis,182
sorex nanus,182
rhinolophus arcuatus,181
elephantulus intufi,180
molossus bondae,180
onychomys sp.,180
